,menu_item,date,stock_count,orders
8266,French fried potatoes,2018-01-30,77,77
8267,Chocolate Ice Cream,2018-01-30,134,86
8268,Sliced Tomatoes,2018-01-30,118,118
8269,ROQUEFORT CHEESE,2018-01-30,41,41
8270,Cream Cheese,2018-01-30,152,112
8271,Crackers,2018-01-30,79,79
8272,Grapes,2018-01-30,116,116
8273,Biscuit Tortoni,2018-01-30,147,65
8274,Dessert,2018-01-30,164,131
8275,Shrimp Cocktail,2018-01-30,160,148
8276,rice pudding,2018-01-30,178,106
8277,Corned Beef Hash,2018-01-30,81,63
8278,STRAWBERRY ICE CREAM,2018-01-30,45,45
8279,Chicken Sandwich,2018-01-30,94,94
8280,Orange Juice,2018-01-30,238,139
8281,Pear,2018-01-30,87,37
8282,Stewed Corn,2018-01-30,27,27
8283,Shrimp Salad,2018-01-30,252,122
8284,Scrambled Eggs,2018-01-30,152,75
8285,Sauterne,2018-01-30,31,31
8286,Boiled eggs,2018-01-30,57,49
8287,Crab Flake Cocktail,2018-01-30,76,76
8288,Blue Point Oysters,2018-01-30,64,64
8289,Stewed Prunes,2018-01-30,61,61
8290,Plums,2018-01-30,43,43
8291,Oyster cocktail,2018-01-30,55,53
8292,Nesselrode Pudding,2018-01-30,49,49
8293,Sweet Potatoes,2018-01-30,231,110
8294,Orange marmalade,2018-01-30,21,21
8295,Tea,2018-01-29,158,71
8296,Milk,2018-01-29,158,158
8297,Boiled potatoes,2018-01-29,69,69
8298,Fruit,2018-01-29,70,46
8299,Sardines,2018-01-29,33,33
8300,Oranges,2018-01-29,246,204
8301,French fried potatoes,2018-01-29,77,77
8302,Chocolate Ice Cream,2018-01-29,67,67
8303,Sliced Tomatoes,2018-01-29,39,39
8304,ROQUEFORT CHEESE,2018-01-29,89,89
8305,Cream Cheese,2018-01-29,63,63
8306,Crackers,2018-01-29,79,79
8307,Grapes,2018-01-29,131,123
8308,Biscuit Tortoni,2018-01-29,81,65
8309,Dessert,2018-01-29,209,138
8310,Shrimp Cocktail,2018-01-29,106,70
8311,rice pudding,2018-01-29,257,257
8312,Corned Beef Hash,2018-01-29,176,134
8313,STRAWBERRY ICE CREAM,2018-01-29,59,59
8314,Chicken Sandwich,2018-01-29,134,134
8315,Orange Juice,2018-01-29,55,55
8316,Pear,2018-01-29,87,77
8317,Stewed Corn,2018-01-29,64,64
8318,Shrimp Salad,2018-01-29,216,129
8319,Scrambled Eggs,2018-01-29,247,92
8320,Sauterne,2018-01-29,77,56
8321,Boiled eggs,2018-01-29,102,75
8322,Crab Flake Cocktail,2018-01-29,68,67
8323,Blue Point Oysters,2018-01-29,48,48
8324,Stewed Prunes,2018-01-29,122,56
8325,Plums,2018-01-29,70,70
8326,Oyster cocktail,2018-01-29,111,111
8327,Nesselrode Pudding,2018-01-29,33,33
8328,Sweet Potatoes,2018-01-29,231,82
8329,Orange marmalade,2018-01-29,98,98
8330,Tea,2018-01-28,158,68
8331,Milk,2018-01-28,34,34
8332,Boiled potatoes,2018-01-28,138,73
8333,Fruit,2018-01-28,151,83
8334,Sardines,2018-01-28,87,87
8335,Oranges,2018-01-28,151,92
8336,French fried potatoes,2018-01-28,19,19
8337,Chocolate Ice Cream,2018-01-28,184,129
8338,Sliced Tomatoes,2018-01-28,105,105
8339,ROQUEFORT CHEESE,2018-01-28,24,24
8340,Cream Cheese,2018-01-28,165,76
8341,Crackers,2018-01-28,40,40
8342,Grapes,2018-01-28,116,76
8343,Biscuit Tortoni,2018-01-28,49,49
8344,Dessert,2018-01-28,164,82
8345,Shrimp Cocktail,2018-01-28,133,77
8346,rice pudding,2018-01-28,198,144
8347,Corned Beef Hash,2018-01-28,67,67
8348,STRAWBERRY ICE CREAM,2018-01-28,19,19
8349,Chicken Sandwich,2018-01-28,188,188
8350,Orange Juice,2018-01-28,238,114
8351,Pear,2018-01-28,26,26
8352,Stewed Corn,2018-01-28,27,27
8353,Shrimp Salad,2018-01-28,216,121
8354,Scrambled Eggs,2018-01-28,152,69
8355,Sauterne,2018-01-28,100,100
8356,Boiled eggs,2018-01-28,158,128
8357,Crab Flake Cocktail,2018-01-28,106,106
8358,Blue Point Oysters,2018-01-28,145,83
8359,Stewed Prunes,2018-01-28,37,37
8360,Plums,2018-01-28,122,122
8361,Oyster cocktail,2018-01-28,63,63
8362,Nesselrode Pudding,2018-01-28,25,25
8363,Sweet Potatoes,2018-01-28,142,95
8364,Orange marmalade,2018-01-28,70,70
8365,Tea,2018-01-27,190,133
8366,Milk,2018-01-27,34,34
8367,Boiled potatoes,2018-01-27,224,95
8368,Fruit,2018-01-27,162,162
8369,Sardines,2018-01-27,54,54
8370,Oranges,2018-01-27,132,112
8371,French fried potatoes,2018-01-27,51,51
8372,Chocolate Ice Cream,2018-01-27,200,153
8373,Sliced Tomatoes,2018-01-27,65,65
8374,ROQUEFORT CHEESE,2018-01-27,32,32
8375,Cream Cheese,2018-01-27,76,76
8376,Crackers,2018-01-27,86,86
8377,Grapes,2018-01-27,58,58
8378,Biscuit Tortoni,2018-01-27,65,65
8379,Dessert,2018-01-27,75,53
8380,Shrimp Cocktail,2018-01-27,120,72
8381,rice pudding,2018-01-27,238,105
8382,Corned Beef Hash,2018-01-27,95,89
8383,STRAWBERRY ICE CREAM,2018-01-27,84,80
8384,Chicken Sandwich,2018-01-27,40,40
8385,Orange Juice,2018-01-27,201,87
8386,Pear,2018-01-27,113,113
8387,Stewed Corn,2018-01-27,36,36
8388,Shrimp Salad,2018-01-27,216,144
8389,Scrambled Eggs,2018-01-27,114,63
8390,Sauterne,2018-01-27,108,85
8391,Boiled eggs,2018-01-27,68,67
8392,Crab Flake Cocktail,2018-01-27,68,58
8393,Blue Point Oysters,2018-01-27,129,65
8394,Stewed Prunes,2018-01-27,37,37
8395,Plums,2018-01-27,35,35
8396,Oyster cocktail,2018-01-27,95,95
8397,Nesselrode Pudding,2018-01-27,82,33
8398,Sweet Potatoes,2018-01-27,249,238
8399,Orange marmalade,2018-01-27,63,52
8400,Tea,2018-01-26,205,205
8401,Milk,2018-01-26,90,90
8402,Boiled potatoes,2018-01-26,69,68
8403,Fruit,2018-01-26,93,93
8404,Sardines,2018-01-26,20,20
8405,Oranges,2018-01-26,57,57
8406,French fried potatoes,2018-01-26,26,26
8407,Chocolate Ice Cream,2018-01-26,167,67
8408,Sliced Tomatoes,2018-01-26,118,118
8409,ROQUEFORT CHEESE,2018-01-26,105,105
8410,Cream Cheese,2018-01-26,140,140
8411,Crackers,2018-01-26,92,92
8412,Grapes,2018-01-26,101,101
8413,Biscuit Tortoni,2018-01-26,179,158
8414,Dessert,2018-01-26,45,45
8415,Shrimp Cocktail,2018-01-26,67,67
8416,rice pudding,2018-01-26,139,139
8417,Corned Beef Hash,2018-01-26,41,41
8418,STRAWBERRY ICE CREAM,2018-01-26,91,91
8419,Chicken Sandwich,2018-01-26,80,80
8420,Orange Juice,2018-01-26,183,159
8421,Pear,2018-01-26,78,78
8422,Stewed Corn,2018-01-26,82,44
8423,Shrimp Salad,2018-01-26,216,216
8424,Scrambled Eggs,2018-01-26,57,57
8425,Sauterne,2018-01-26,31,31
8426,Boiled eggs,2018-01-26,158,158
8427,Crab Flake Cocktail,2018-01-26,61,61
8428,Blue Point Oysters,2018-01-26,161,59
8429,Stewed Prunes,2018-01-26,61,61
8430,Plums,2018-01-26,104,104
8431,Oyster cocktail,2018-01-26,32,32
8432,Nesselrode Pudding,2018-01-26,115,115
8433,Sweet Potatoes,2018-01-26,125,111
8434,Orange marmalade,2018-01-26,56,56
8435,Tea,2018-01-25,63,54
8436,Milk,2018-01-25,57,57
8437,Boiled potatoes,2018-01-25,241,105
8438,Fruit,2018-01-25,128,128
8439,Sardines,2018-01-25,54,52
8440,Oranges,2018-01-25,132,123
8441,French fried potatoes,2018-01-25,51,51
8442,Chocolate Ice Cream,2018-01-25,200,141
8443,Sliced Tomatoes,2018-01-25,144,144
8444,ROQUEFORT CHEESE,2018-01-25,57,52
8445,Cream Cheese,2018-01-25,76,76
8446,Crackers,2018-01-25,73,73
8447,Grapes,2018-01-25,174,174
8448,Biscuit Tortoni,2018-01-25,179,121
8449,Dessert,2018-01-25,60,60
8450,Shrimp Cocktail,2018-01-25,67,67
8451,rice pudding,2018-01-25,79,79
8452,Corned Beef Hash,2018-01-25,41,41
8453,STRAWBERRY ICE CREAM,2018-01-25,33,33
8454,Chicken Sandwich,2018-01-25,134,118
8455,Orange Juice,2018-01-25,55,55
8456,Pear,2018-01-25,43,43
8457,Stewed Corn,2018-01-25,109,109
8458,Shrimp Salad,2018-01-25,198,150
8459,Scrambled Eggs,2018-01-25,114,60
8460,Sauterne,2018-01-25,54,54
8461,Boiled eggs,2018-01-25,45,45
8462,Crab Flake Cocktail,2018-01-25,46,46
8463,Blue Point Oysters,2018-01-25,177,121
8464,Stewed Prunes,2018-01-25,49,49
8465,Plums,2018-01-25,87,68
8466,Oyster cocktail,2018-01-25,95,60
8467,Nesselrode Pudding,2018-01-25,41,41
8468,Sweet Potatoes,2018-01-25,71,71
8469,Orange marmalade,2018-01-25,28,28
8470,Tea,2018-01-24,142,82
8471,Milk,2018-01-24,79,79
8472,Boiled potatoes,2018-01-24,86,61
8473,Fruit,2018-01-24,70,70
8474,Sardines,2018-01-24,74,74
8475,Oranges,2018-01-24,208,160
8476,French fried potatoes,2018-01-24,77,77
8477,Chocolate Ice Cream,2018-01-24,217,121
8478,Sliced Tomatoes,2018-01-24,144,144
8479,ROQUEFORT CHEESE,2018-01-24,97,73
8480,Cream Cheese,2018-01-24,38,38
8481,Crackers,2018-01-24,66,66
8482,Grapes,2018-01-24,145,108
8483,Biscuit Tortoni,2018-01-24,212,121
8484,Dessert,2018-01-24,149,90
8485,Shrimp Cocktail,2018-01-24,67,67
8486,rice pudding,2018-01-24,158,158
8487,Corned Beef Hash,2018-01-24,135,78
8488,STRAWBERRY ICE CREAM,2018-01-24,19,19
8489,Chicken Sandwich,2018-01-24,121,121
8490,Orange Juice,2018-01-24,201,112
8491,Pear,2018-01-24,78,51
8492,Stewed Corn,2018-01-24,91,60
8493,Shrimp Salad,2018-01-24,72,53
8494,Scrambled Eggs,2018-01-24,247,148
8495,Sauterne,2018-01-24,92,63
8496,Boiled eggs,2018-01-24,68,48
8497,Crab Flake Cocktail,2018-01-24,68,68
8498,Blue Point Oysters,2018-01-24,113,67
8499,Stewed Prunes,2018-01-24,61,61
8500,Plums,2018-01-24,122,122
8501,Oyster cocktail,2018-01-24,24,24
8502,Nesselrode Pudding,2018-01-24,66,54
8503,Sweet Potatoes,2018-01-24,160,125
8504,Orange marmalade,2018-01-24,56,56
8505,Tea,2018-01-23,47,47
8506,Milk,2018-01-23,158,158
8507,Boiled potatoes,2018-01-23,172,87
8508,Fruit,2018-01-23,104,34
8509,Sardines,2018-01-23,74,74
8510,Oranges,2018-01-23,170,104
8511,French fried potatoes,2018-01-23,19,19
8512,Chocolate Ice Cream,2018-01-23,184,102
8513,Sliced Tomatoes,2018-01-23,105,58
8514,ROQUEFORT CHEESE,2018-01-23,41,41
8515,Cream Cheese,2018-01-23,178,92
8516,Crackers,2018-01-23,40,39
8517,Grapes,2018-01-23,87,87
8518,Biscuit Tortoni,2018-01-23,163,82
8519,Dessert,2018-01-23,194,60
8520,Shrimp Cocktail,2018-01-23,40,40
8521,rice pudding,2018-01-23,59,46
8522,Corned Beef Hash,2018-01-23,54,46
8523,STRAWBERRY ICE CREAM,2018-01-23,39,34
8524,Chicken Sandwich,2018-01-23,94,94
8525,Orange Juice,2018-01-23,91,85
8526,Pear,2018-01-23,122,122
8527,Stewed Corn,2018-01-23,45,45
8528,Shrimp Salad,2018-01-23,162,71
8529,Scrambled Eggs,2018-01-23,228,144
8530,Sauterne,2018-01-23,85,85
8531,Boiled eggs,2018-01-23,158,83
8532,Crab Flake Cocktail,2018-01-23,23,23
8533,Blue Point Oysters,2018-01-23,81,70
8534,Stewed Prunes,2018-01-23,73,56
8535,Plums,2018-01-23,104,104
8536,Oyster cocktail,2018-01-23,87,87
8537,Nesselrode Pudding,2018-01-23,66,66
8538,Sweet Potatoes,2018-01-23,53,53
8539,Orange marmalade,2018-01-23,56,56
8540,Tea,2018-01-22,126,56
8541,Milk,2018-01-22,57,56
8542,Boiled potatoes,2018-01-22,224,146
8543,Fruit,2018-01-22,128,128
8544,Sardines,2018-01-22,54,54
8545,Oranges,2018-01-22,95,56
8546,French fried potatoes,2018-01-22,32,32
8547,Chocolate Ice Cream,2018-01-22,67,56
8548,Sliced Tomatoes,2018-01-22,170,136
8549,ROQUEFORT CHEESE,2018-01-22,81,70
8550,Cream Cheese,2018-01-22,89,52
8551,Crackers,2018-01-22,26,26
8552,Grapes,2018-01-22,174,167
8553,Biscuit Tortoni,2018-01-22,212,144
8554,Dessert,2018-01-22,104,85
8555,Shrimp Cocktail,2018-01-22,93,60
8556,rice pudding,2018-01-22,79,79
8557,Corned Beef Hash,2018-01-22,189,112
8558,STRAWBERRY ICE CREAM,2018-01-22,39,39
8559,Chicken Sandwich,2018-01-22,94,72
8560,Orange Juice,2018-01-22,146,40
8561,Pear,2018-01-22,78,66
8562,Stewed Corn,2018-01-22,55,55
8563,Shrimp Salad,2018-01-22,90,69
8564,Scrambled Eggs,2018-01-22,114,84
8565,Sauterne,2018-01-22,54,54
8566,Boiled eggs,2018-01-22,113,81
8567,Crab Flake Cocktail,2018-01-22,106,106
8568,Blue Point Oysters,2018-01-22,161,47
8569,Stewed Prunes,2018-01-22,98,58
8570,Plums,2018-01-22,113,113
8571,Oyster cocktail,2018-01-22,111,66
8572,Nesselrode Pudding,2018-01-22,33,33
8573,Sweet Potatoes,2018-01-22,53,53
8574,Orange marmalade,2018-01-22,63,63
8575,Tea,2018-01-21,126,73
8576,Milk,2018-01-21,79,79
8577,Boiled potatoes,2018-01-21,241,153
8578,Fruit,2018-01-21,46,46
8579,Sardines,2018-01-21,94,94
8580,Oranges,2018-01-21,189,148
8581,French fried potatoes,2018-01-21,26,26
8582,Chocolate Ice Cream,2018-01-21,117,51
8583,Sliced Tomatoes,2018-01-21,65,65
8584,ROQUEFORT CHEESE,2018-01-21,57,57
8585,Cream Cheese,2018-01-21,102,90
8586,Crackers,2018-01-21,20,20
8587,Grapes,2018-01-21,101,74
8588,Biscuit Tortoni,2018-01-21,98,89
8589,Dessert,2018-01-21,75,75
8590,Shrimp Cocktail,2018-01-21,93,76
8591,rice pudding,2018-01-21,238,165
8592,Corned Beef Hash,2018-01-21,95,80
8593,STRAWBERRY ICE CREAM,2018-01-21,45,45
8594,Chicken Sandwich,2018-01-21,134,108
8595,Orange Juice,2018-01-21,165,57
8596,Pear,2018-01-21,35,35
8597,Stewed Corn,2018-01-21,73,73
8598,Shrimp Salad,2018-01-21,108,82
8599,Scrambled Eggs,2018-01-21,228,131
8600,Sauterne,2018-01-21,62,62
8601,Boiled eggs,2018-01-21,45,45
8602,Crab Flake Cocktail,2018-01-21,30,30
8603,Blue Point Oysters,2018-01-21,64,58
8604,Stewed Prunes,2018-01-21,146,110
8605,Plums,2018-01-21,113,113
8606,Oyster cocktail,2018-01-21,32,32
8607,Nesselrode Pudding,2018-01-21,107,107
8608,Sweet Potatoes,2018-01-21,249,134
8609,Orange marmalade,2018-01-21,98,98
8610,Tea,2018-01-20,111,62
8611,Milk,2018-01-20,79,79
8612,Boiled potatoes,2018-01-20,155,56
8613,Fruit,2018-01-20,81,81
8614,Sardines,2018-01-20,27,27
8615,Oranges,2018-01-20,265,209
8616,French fried potatoes,2018-01-20,90,90
8617,Chocolate Ice Cream,2018-01-20,217,122
8618,Sliced Tomatoes,2018-01-20,65,65
8619,ROQUEFORT CHEESE,2018-01-20,97,97
8620,Cream Cheese,2018-01-20,140,109
8621,Crackers,2018-01-20,46,46
8622,Grapes,2018-01-20,101,77
8623,Biscuit Tortoni,2018-01-20,49,49
8624,Dessert,2018-01-20,164,134
8625,Shrimp Cocktail,2018-01-20,120,57
8626,rice pudding,2018-01-20,257,240
8627,Corned Beef Hash,2018-01-20,176,68
8628,STRAWBERRY ICE CREAM,2018-01-20,78,78
8629,Chicken Sandwich,2018-01-20,161,161
8630,Orange Juice,2018-01-20,91,76
8631,Pear,2018-01-20,104,104
8632,Stewed Corn,2018-01-20,27,27
8633,Shrimp Salad,2018-01-20,144,88
8634,Scrambled Eggs,2018-01-20,247,97
8635,Sauterne,2018-01-20,23,23
8636,Boiled eggs,2018-01-20,34,34
8637,Crab Flake Cocktail,2018-01-20,76,76
8638,Blue Point Oysters,2018-01-20,97,85
8639,Stewed Prunes,2018-01-20,85,55
8640,Plums,2018-01-20,61,57
8641,Oyster cocktail,2018-01-20,87,80
8642,Nesselrode Pudding,2018-01-20,82,64
8643,Sweet Potatoes,2018-01-20,89,89
8644,Orange marmalade,2018-01-20,49,49
8645,Tea,2018-01-19,79,79
8646,Milk,2018-01-19,147,147
8647,Boiled potatoes,2018-01-19,189,189
8648,Fruit,2018-01-19,128,128
8649,Sardines,2018-01-19,20,20
8650,Oranges,2018-01-19,208,208
8651,French fried potatoes,2018-01-19,83,83
8652,Chocolate Ice Cream,2018-01-19,217,173
8653,Sliced Tomatoes,2018-01-19,131,131
8654,ROQUEFORT CHEESE,2018-01-19,24,24
8655,Cream Cheese,2018-01-19,63,63
8656,Crackers,2018-01-19,53,53
8657,Grapes,2018-01-19,160,160
8658,Biscuit Tortoni,2018-01-19,114,114
8659,Dessert,2018-01-19,179,179
8660,Shrimp Cocktail,2018-01-19,146,133
8661,rice pudding,2018-01-19,158,139
8662,Corned Beef Hash,2018-01-19,81,81
8663,STRAWBERRY ICE CREAM,2018-01-19,33,33
8664,Chicken Sandwich,2018-01-19,134,96
8665,Orange Juice,2018-01-19,73,73
8666,Pear,2018-01-19,43,43
8667,Stewed Corn,2018-01-19,109,109
8668,Shrimp Salad,2018-01-19,126,105
8669,Scrambled Eggs,2018-01-19,190,59
8670,Sauterne,2018-01-19,85,85
8671,Boiled eggs,2018-01-19,68,68
8672,Crab Flake Cocktail,2018-01-19,76,76
8673,Blue Point Oysters,2018-01-19,161,159
8674,Stewed Prunes,2018-01-19,146,146
8675,Plums,2018-01-19,52,52
8676,Oyster cocktail,2018-01-19,63,63
8677,Nesselrode Pudding,2018-01-19,98,98
8678,Sweet Potatoes,2018-01-19,53,53
8679,Orange marmalade,2018-01-19,49,49
8680,Tea,2018-01-18,221,105
8681,Milk,2018-01-18,90,64
8682,Boiled potatoes,2018-01-18,172,84
8683,Fruit,2018-01-18,128,128
8684,Sardines,2018-01-18,20,20
8685,Oranges,2018-01-18,95,64
8686,French fried potatoes,2018-01-18,77,77
8687,Chocolate Ice Cream,2018-01-18,134,67
8688,Sliced Tomatoes,2018-01-18,170,170
8689,ROQUEFORT CHEESE,2018-01-18,81,81
8690,Cream Cheese,2018-01-18,102,86
8691,Crackers,2018-01-18,53,53
8692,Grapes,2018-01-18,87,56
8693,Biscuit Tortoni,2018-01-18,163,90
8694,Dessert,2018-01-18,89,64
8695,Shrimp Cocktail,2018-01-18,120,83
8696,rice pudding,2018-01-18,277,214
8697,Corned Beef Hash,2018-01-18,162,124
8698,STRAWBERRY ICE CREAM,2018-01-18,39,39
8699,Chicken Sandwich,2018-01-18,134,122
8700,Orange Juice,2018-01-18,110,87
8701,Pear,2018-01-18,26,26
8702,Stewed Corn,2018-01-18,118,118
8703,Shrimp Salad,2018-01-18,144,45
8704,Scrambled Eggs,2018-01-18,114,61
8705,Sauterne,2018-01-18,46,46
8706,Boiled eggs,2018-01-18,102,76
8707,Crab Flake Cocktail,2018-01-18,23,23
8708,Blue Point Oysters,2018-01-18,113,68
8709,Stewed Prunes,2018-01-18,171,95
8710,Plums,2018-01-18,87,65
8711,Oyster cocktail,2018-01-18,103,103
8712,Nesselrode Pudding,2018-01-18,33,33
8713,Sweet Potatoes,2018-01-18,178,68
8714,Orange marmalade,2018-01-18,21,21
8715,Tea,2018-01-17,205,97
8716,Milk,2018-01-17,34,34
8717,Boiled potatoes,2018-01-17,172,76
8718,Fruit,2018-01-17,104,53
8719,Sardines,2018-01-17,20,20
8720,Oranges,2018-01-17,113,101
8721,French fried potatoes,2018-01-17,58,58
8722,Chocolate Ice Cream,2018-01-17,217,95
8723,Sliced Tomatoes,2018-01-17,118,118
8724,ROQUEFORT CHEESE,2018-01-17,105,105
8725,Cream Cheese,2018-01-17,102,57
8726,Crackers,2018-01-17,66,61
8727,Grapes,2018-01-17,160,117
8728,Biscuit Tortoni,2018-01-17,212,114
8729,Dessert,2018-01-17,104,56
8730,Shrimp Cocktail,2018-01-17,67,67
8731,rice pudding,2018-01-17,198,68
8732,Corned Beef Hash,2018-01-17,135,50
8733,STRAWBERRY ICE CREAM,2018-01-17,84,84
8734,Chicken Sandwich,2018-01-17,107,107
8735,Orange Juice,2018-01-17,146,74
8736,Pear,2018-01-17,113,112
8737,Stewed Corn,2018-01-17,118,118
8738,Shrimp Salad,2018-01-17,162,46
8739,Scrambled Eggs,2018-01-17,171,67
8740,Sauterne,2018-01-17,100,83
8741,Boiled eggs,2018-01-17,68,68
8742,Crab Flake Cocktail,2018-01-17,99,99
8743,Blue Point Oysters,2018-01-17,113,71
8744,Stewed Prunes,2018-01-17,110,55
8745,Plums,2018-01-17,26,26
8746,Oyster cocktail,2018-01-17,39,39
8747,Nesselrode Pudding,2018-01-17,115,115
8748,Sweet Potatoes,2018-01-17,160,38
8749,Orange marmalade,2018-01-17,49,49
8750,Tea,2018-01-16,79,79
8751,Milk,2018-01-16,90,69
8752,Boiled potatoes,2018-01-16,69,69
8753,Fruit,2018-01-16,128,128
8754,Sardines,2018-01-16,27,27
8755,Oranges,2018-01-16,57,57
8756,French fried potatoes,2018-01-16,90,90
8757,Chocolate Ice Cream,2018-01-16,50,50
8758,Sliced Tomatoes,2018-01-16,144,144
8759,ROQUEFORT CHEESE,2018-01-16,57,57
8760,Cream Cheese,2018-01-16,63,36
8761,Crackers,2018-01-16,66,66
8762,Grapes,2018-01-16,131,108
8763,Biscuit Tortoni,2018-01-16,212,105
8764,Dessert,2018-01-16,179,90
8765,Shrimp Cocktail,2018-01-16,133,75
8766,rice pudding,2018-01-16,79,79
8767,Corned Beef Hash,2018-01-16,189,114
8768,STRAWBERRY ICE CREAM,2018-01-16,33,33
8769,Chicken Sandwich,2018-01-16,54,54
8770,Orange Juice,2018-01-16,256,116
8771,Pear,2018-01-16,122,122
8772,Stewed Corn,2018-01-16,118,118
8773,Shrimp Salad,2018-01-16,108,82
8774,Scrambled Eggs,2018-01-16,133,65
8775,Sauterne,2018-01-16,85,85
8776,Boiled eggs,2018-01-16,147,147
8777,Crab Flake Cocktail,2018-01-16,38,38
8778,Blue Point Oysters,2018-01-16,81,64
8779,Stewed Prunes,2018-01-16,159,129
8780,Plums,2018-01-16,70,53
8781,Oyster cocktail,2018-01-16,24,24
8782,Nesselrode Pudding,2018-01-16,74,33
8783,Sweet Potatoes,2018-01-16,231,228
8784,Orange marmalade,2018-01-16,56,56
8785,Tea,2018-01-15,47,47
8786,Milk,2018-01-15,90,50
8787,Boiled potatoes,2018-01-15,189,151
8788,Fruit,2018-01-15,128,128
8789,Sardines,2018-01-15,20,20
8790,Oranges,2018-01-15,170,76
8791,French fried potatoes,2018-01-15,38,38
8792,Chocolate Ice Cream,2018-01-15,167,50
8793,Sliced Tomatoes,2018-01-15,79,53
8794,ROQUEFORT CHEESE,2018-01-15,89,89
8795,Cream Cheese,2018-01-15,102,74
8796,Crackers,2018-01-15,33,33
8797,Grapes,2018-01-15,203,203
8798,Biscuit Tortoni,2018-01-15,147,65
8799,Dessert,2018-01-15,149,76
8800,Shrimp Cocktail,2018-01-15,120,90
8801,rice pudding,2018-01-15,198,111
8802,Corned Beef Hash,2018-01-15,135,81
8803,STRAWBERRY ICE CREAM,2018-01-15,72,72
8804,Chicken Sandwich,2018-01-15,80,80
8805,Orange Juice,2018-01-15,165,81
8806,Pear,2018-01-15,26,26
8807,Stewed Corn,2018-01-15,73,70
8808,Shrimp Salad,2018-01-15,216,129
8809,Scrambled Eggs,2018-01-15,266,134
8810,Sauterne,2018-01-15,77,67
8811,Boiled eggs,2018-01-15,124,83
8812,Crab Flake Cocktail,2018-01-15,106,106
8813,Blue Point Oysters,2018-01-15,129,71
8814,Stewed Prunes,2018-01-15,146,105
8815,Plums,2018-01-15,122,122
8816,Oyster cocktail,2018-01-15,47,47
8817,Nesselrode Pudding,2018-01-15,90,90
8818,Sweet Potatoes,2018-01-15,142,122
8819,Orange marmalade,2018-01-15,77,77
8820,Tea,2018-01-14,95,88
8821,Milk,2018-01-14,68,68
8822,Boiled potatoes,2018-01-14,206,122
8823,Fruit,2018-01-14,93,93
8824,Sardines,2018-01-14,27,27
8825,Oranges,2018-01-14,189,73
8826,French fried potatoes,2018-01-14,51,44
8827,Chocolate Ice Cream,2018-01-14,234,104
8828,Sliced Tomatoes,2018-01-14,79,79
8829,ROQUEFORT CHEESE,2018-01-14,89,89
8830,Cream Cheese,2018-01-14,114,51
8831,Crackers,2018-01-14,66,66
8832,Grapes,2018-01-14,203,203
8833,Biscuit Tortoni,2018-01-14,81,78
8834,Dessert,2018-01-14,134,88
8835,Shrimp Cocktail,2018-01-14,93,89
8836,rice pudding,2018-01-14,158,94
8837,Corned Beef Hash,2018-01-14,148,107
8838,STRAWBERRY ICE CREAM,2018-01-14,26,26
8839,Chicken Sandwich,2018-01-14,80,80
8840,Orange Juice,2018-01-14,146,34
8841,Pear,2018-01-14,35,35
8842,Stewed Corn,2018-01-14,36,36
8843,Shrimp Salad,2018-01-14,72,72
8844,Scrambled Eggs,2018-01-14,209,88
8845,Sauterne,2018-01-14,85,85
8846,Boiled eggs,2018-01-14,147,94
8847,Crab Flake Cocktail,2018-01-14,76,48
8848,Blue Point Oysters,2018-01-14,64,64
8849,Stewed Prunes,2018-01-14,146,126
8850,Plums,2018-01-14,122,122
8851,Oyster cocktail,2018-01-14,103,90
8852,Nesselrode Pudding,2018-01-14,49,35
8853,Sweet Potatoes,2018-01-14,107,35
8854,Orange marmalade,2018-01-14,21,21
8855,Tea,2018-01-13,111,78
8856,Milk,2018-01-13,90,90
8857,Boiled potatoes,2018-01-13,206,138
8858,Fruit,2018-01-13,93,92
8859,Sardines,2018-01-13,87,87
8860,Oranges,2018-01-13,189,80
8861,French fried potatoes,2018-01-13,77,77
8862,Chocolate Ice Cream,2018-01-13,134,63
8863,Sliced Tomatoes,2018-01-13,52,52
8864,ROQUEFORT CHEESE,2018-01-13,57,57
8865,Cream Cheese,2018-01-13,51,51
8866,Crackers,2018-01-13,92,92
8867,Grapes,2018-01-13,43,43
8868,Biscuit Tortoni,2018-01-13,163,79
8869,Dessert,2018-01-13,89,87
8870,Shrimp Cocktail,2018-01-13,133,78
8871,rice pudding,2018-01-13,139,112
8872,Corned Beef Hash,2018-01-13,121,71
8873,STRAWBERRY ICE CREAM,2018-01-13,39,39
8874,Chicken Sandwich,2018-01-13,40,40
8875,Orange Juice,2018-01-13,165,47
8876,Pear,2018-01-13,43,43
8877,Stewed Corn,2018-01-13,55,55
8878,Shrimp Salad,2018-01-13,252,143
8879,Scrambled Eggs,2018-01-13,228,124
8880,Sauterne,2018-01-13,85,85
8881,Boiled eggs,2018-01-13,113,79
8882,Crab Flake Cocktail,2018-01-13,99,71
8883,Blue Point Oysters,2018-01-13,161,67
8884,Stewed Prunes,2018-01-13,122,61
8885,Plums,2018-01-13,26,26
8886,Oyster cocktail,2018-01-13,32,32
8887,Nesselrode Pudding,2018-01-13,33,33
8888,Sweet Potatoes,2018-01-13,196,124
8889,Orange marmalade,2018-01-13,91,91
8890,Tea,2018-12-01,63,63
8891,Milk,2018-12-01,90,90
8892,Boiled potatoes,2018-12-01,86,86
8893,Fruit,2018-12-01,104,104
